tc;test #;kp;kd;ki;ess_step;IAE;ITAE;Kr;Tn;Tv;PR;RT;P-Eng;S-Eng;Eng-rel;osc_p;osc_s;parameter_code;eng-diff;mr_lll_RT;mr_lll_EngS;mr_lll_osc;mr_IAE;mr_PR;total_one
tc100;144;7.692307692307692;0.3076923076923076;197.2386587771203;0.8849557522123894;0.1643167672515498;0.0144;0.13;0.039;0.04;1.057;0.128;203903049.318;455401891791.981;0.0004477430880132;1;1;lll;535737862491.575;0.0;1.0;1.0;0.0;0.0;2.0
tc100;145;4.3478260869565215;0.0434782608695652;90.57971014492752;0.8130081300813008;0.0685248288864192;0.0025043478260869;0.23;0.048;0.01;1.106;0.075;373617186.436;1403048198968.945;0.0002662896304706;1;1;lll;-411908444685.38904;1.0;0.0;1.0;1.0;0.0;3.0
tc100;146;4.3478260869565215;0.0434782608695652;131.75230566534913;0.8130081300813008;0.05681778655989;0.0017217391304347;0.23;0.033;0.01;1.128;0.068;428692313.969;1568689000720.372;0.0002732806271811;1;1;lll;-577549246436.816;1.0;0.0;1.0;1.0;0.0;3.0
tc100;147;14.285714285714285;1.1428571428571428;4761.9047619047615;0.9345794392523364;0.0878310065653679;0.0041142857142857;0.07;0.003;0.08;1.0;0.2;228533637.298;3737907007501.412;6.113946570617398e-05;23;75;hhh;-2746767253217.856;;;;;;
tc100;148;Jun.25;0.25;93.98496240601504;0.8620689655172414;0.1934069543734144;0.01995;0.16;0.0665;0.04;1.047;0.148;179613387.057;500111350788.499;0.0003591467915571;1;1;lll;491028403495.057;0.0;1.0;1.0;0.0;1.0;3.0
tc100;149;7.692307692307692;0.4615384615384614;265.2519893899204;0.8849557522123894;0.173537847789422;0.0160615384615384;0.13;0.029;0.06;1.016;0.156;169925844.428;425931638197.445;0.0003989509798969;1;3;lll;565208116086.1111;0.0;1.0;1.0;0.0;1.0;3.0
tc100;14;14.285714285714285;0.5714285714285714;151.9756838905775;0.9345794392523364;0.3476451392686842;0.0644571428571428;0.07;0.094;0.04;1.072;0.221;115038290.621;123406899772.184;0.0009321868617829;1;3;hlh;867732854511.3721;;;;;;
tc100;150;14.285714285714285;0.3571428571428571;2040.816326530612;0.9345794392523364;0.075;0.003;0.07;0.007;0.025;1.116;0.065;479142182.505;1563923096693.104;0.0003063719587735;1;1;hhl;-572783342409.548;;;;;;
tc100;151;3.333333333333333;0.0;90.0900900900901;div0;0.003;0.003;0.3;0.037;0.0;1.124;0.063;473278792.007;1700342722852.542;0.0002783431749647;1;1;lll;-709202968568.986;1.0;0.0;1.0;1.0;0.0;3.0
tc100;152;3.333333333333333;0.1833333333333333;83.33333333333333;0.7692307692307692;0.1284523257866513;0.0088;0.3;0.04;0.055;1.007;0.159;179444253.182;1002419513259.022;0.0001790111333712;1;5;lll;-11279758975.465942;0.0;0.0;0.0;0.0;1.0;1.0
tc100;153;10.0;0.25;606.060606060606;0.9090909090909091;0.0963392443399884;0.00495;0.1;0.0165;0.025;1.128;0.08;357486979.434;810137634895.283;0.0004412669700009;1;1;lll;181002119388.27307;1.0;1.0;1.0;1.0;0.0;4.0
tc100;154;14.285714285714285;0.7857142857142857;432.90043290043286;0.9345794392523364;0.2415352680547619;0.0311142857142857;0.07;0.033;0.055;01.Jun;0.163;156285289.301;179878404983.96;0.0008688385318678;1;3;hlh;811261349299.5961;;;;;;
tc100;155;7.692307692307692;0.423076923076923;615.3846153846152;0.8849557522123894;0.1090827138530136;0.0063461538461538;0.13;0.0125;0.055;1.0;0.139;217683785.733;841971912076.599;0.0002585404365759;1;1;lll;149167842206.95703;0.0;1.0;1.0;0.0;1.0;3.0
tc100;156;7.692307692307692;0.4615384615384614;769.2307692307692;0.8849557522123894;0.1019049330730136;0.0055384615384615;0.13;0.01;0.06;1.0;0.154;208945035.333;955901627220.711;0.0002185842448458;21;47;lll;35238127062.84497;0.0;1.0;0.0;0.0;1.0;2.0
tc100;157;10.0;0.1;100.0;0.9090909090909091;0.15;0.012;0.1;0.1;0.01;1.099;0.146;181105808.747;288295499201.174;0.0006281950611397;1;1;lll;702844255082.3821;0.0;1.0;1.0;0.0;0.0;2.0
tc100;158;4.3478260869565215;0.108695652173913;117.50881316098707;0.8130081300813008;0.0951257748640097;0.0048260869565217;0.23;0.037;0.025;1.054;0.093;295644413.187;1177000886385.224;0.0002511845289216;1;1;lll;-185861132101.6681;1.0;0.0;1.0;1.0;0.0;3.0
tc100;159;6.666666666666667;0.0666666666666666;266.6666666666667;0.8695652173913044;0.0612372435695794;0.002;0.15;0.025;0.01;1.232;0.066;492508215.021;1340948018292.348;0.0003672835995896;1;1;lll;-349808264008.7919;1.0;0.0;1.0;1.0;0.0;3.0
tc100;15;4.3478260869565215;0.0434782608695652;85.25149190110827;0.8130081300813008;0.0706337768690207;0.0026608695652173;0.23;0.051;0.01;1.102;0.077;364600988.798;1374645824697.825;0.0002652326746623;1;1;lll;-383506070414.2689;1.0;0.0;1.0;1.0;0.0;3.0
tc100;160;11.11111111111111;0.4444444444444444;376.6478342749529;0.9174311926605504;0.1717556403731766;0.0157333333333333;0.09;0.0295;0.04;1.079;0.125;208188595.492;322954803732.188;0.0006446369370763;1;1;ell;668184950551.368;;;;;;
tc100;161;8.333333333333334;0.2916666666666667;5555.555555555556;0.8928571428571428;0.0313747509950278;0.000525;0.12;0.0015;0.035;1.014;0.103;4428730433.859;141770894687358.47;3.123864347209981e-05;51;51;lhl;-140779754933074.9;;;;;;
tc100;162;20.0;0.5;579.7101449275361;0.9523809523809523;0.1970088830484554;0.0207;0.05;0.0345;0.025;1.202;0.143;204064113.652;146641164314.986;0.0013915881983429;1;1;hll;844498589968.5701;;;;;;
tc100;163;7.692307692307692;0.6153846153846153;284.9002849002849;0.8849557522123894;0.1933510159906468;0.0199384615384615;0.13;0.027;0.08;1.001;0.201;137778466.968;369816341473.438;0.0003725591638786;1;3;llh;621323412810.118;;;;;;
tc100;164;4.545454545454546;0.1818181818181818;324.6753246753247;0.819672131147541;0.0756787468664269;0.0030545454545454;0.22;0.014;0.04;1.001;0.109;280054568.339;1582329279774.025;0.000176988804997;1;1;lll;-591189525490.4689;1.0;0.0;1.0;1.0;1.0;4.0
tc100;165;8.333333333333334;0.3333333333333333;925.925925925926;0.8928571428571428;0.0821583836257749;0.0036;0.12;0.009;0.04;1.001;0.101;307453548.422;1396195955968.282;0.0002202080210215;1;1;lll;-405056201684.72595;1.0;0.0;1.0;1.0;1.0;4.0
tc100;166;6.666666666666667;0.1666666666666666;333.3333333333333;0.8695652173913044;0.0866025403784438;0.0039999999999999;0.15;0.02;0.025;1.081;0.077;354586511.252;1124950767348.473;0.0003152018039756;1;1;lll;-133811013064.91687;1.0;0.0;1.0;1.0;0.0;3.0
tc100;167;20.0;0.1;500.0;0.9523809523809523;0.0948683298050513;0.0048;0.05;0.04;0.005;1.305;0.132;252257593.046;164666516219.078;0.0015319301023554;1;1;hll;826473238064.478;;;;;;
tc100;168;4.3478260869565215;0.2608695652173913;46.25346901017576;0.8130081300813008;0.2348912791984373;0.0294260869565217;0.23;0.094;0.06;1.018;0.203;140126949.706;657790941825.863;0.0002130265724198;1;5;lll;333348812457.693;0.0;1.0;0.0;0.0;1.0;2.0
tc100;169;8.333333333333334;0.5;877.1929824561404;0.8928571428571428;0.1033803656406766;0.0057;0.12;0.0095;0.06;1.0;0.153;210616927.197;942992755652.242;0.0002233494647064;19;45;lll;48146998631.31409;0.0;1.0;0.0;0.0;1.0;2.0
tc100;16;3.333333333333333;0.1166666666666666;40.4040404040404;0.7692307692307692;0.1471606265276143;0.01155;0.3;0.0825;0.035;1.019;0.147;198603793.165;1045745532517.741;0.0001899159852845;1;3;lll;-54605778234.18494;0.0;0.0;1.0;0.0;1.0;2.0
tc100;170;8.333333333333334;0.0833333333333333;396.8253968253968;0.8928571428571428;0.0627495019900556;0.0021;0.12;0.021;0.01;1.279;0.068;516424405.226;1182047375862.555;0.0004368897692016;1;1;lll;-190907621578.9989;1.0;0.0;1.0;1.0;0.0;3.0
tc100;171;6.666666666666667;0.2666666666666666;122.32415902140671;0.8695652173913044;0.1808314132002512;0.01744;0.15;0.0545;0.04;1.051;0.139;188416435.752;484545380146.696;0.0003888519909011;1;1;lll;506594374136.86005;0.0;1.0;1.0;0.0;0.0;2.0
